Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Traffic Type,Geo-location Data,Severity Level,Action Taken
103.216.15.12,84.9.164.252,31225,17616,ICMP,503,HTTP,"Jamshedpur, Sikkim",Low,Logged
78.199.217.198,66.191.137.154,17245,48166,ICMP,1174,HTTP,"Bilaspur, Nagaland",Low,Blocked
63.79.210.48,198.219.82.17,16811,53600,UDP,306,HTTP,"Bokaro, Rajasthan",Low,Ignored
163.42.196.10,101.228.192.255,20018,32534,UDP,385,HTTP,"Jaunpur, Rajasthan",Medium,Blocked
71.166.185.76,189.243.174.238,6131,26646,TCP,1462,DNS,"Anantapur, Tripura",Low,Blocked
198.102.5.160,147.190.155.133,17430,52805,UDP,1423,HTTP,"Aurangabad, Meghalaya",Medium,Logged
97.253.103.59,77.16.101.53,26562,17416,TCP,379,DNS,"Eluru, Manipur",High,Ignored
11.48.99.245,178.157.14.116,34489,20396,ICMP,1022,DNS,"Phagwara, Andhra Pradesh",High,Logged
49.32.208.167,72.202.237.9,56296,20857,TCP,1281,FTP,"Ambala, Tripura",High,Blocked
114.109.149.113,160.88.194.172,37918,50039,UDP,224,HTTP,"Rampur, Mizoram",Medium,Blocked
177.21.83.200,196.218.124.169,35538,35006,ICMP,661,HTTP,"Gangtok, Haryana",Medium,Ignored
92.4.25.171,112.43.185.24,10903,36817,TCP,281,HTTP,"Nandyal, Mizoram",Low,Ignored
57.91.207.84,98.96.110.38,53471,38048,ICMP,64,DNS,"Silchar, Kerala",Medium,Blocked
80.28.21.123,111.204.103.106,43729,10845,ICMP,1341,HTTP,"Gudivada, Odisha",Low,Ignored
54.163.130.178,62.112.149.214,47795,35243,UDP,913,DNS,"Silchar, Maharashtra",High,Logged
130.163.192.252,12.192.2.112,24912,21176,TCP,425,DNS,"Bhiwandi, Tripura",Medium,Logged
4.255.187.165,136.159.186.239,39934,5259,TCP,838,HTTP,"Solapur, Telangana",High,Ignored
212.164.196.41,32.26.31.49,16513,50583,TCP,969,HTTP,"Darbhanga, Mizoram",Low,Logged
119.101.120.119,47.125.34.52,4510,26783,TCP,124,DNS,"Rampur, Rajasthan",High,Ignored
104.176.150.78,110.80.185.102,55147,17595,TCP,461,HTTP,"Ahmednagar, Uttarakhand",High,Ignored
116.61.253.182,170.92.148.90,24907,37634,ICMP,845,DNS,"Kharagpur, West Bengal",Medium,Blocked
214.247.90.42,196.26.121.164,37998,1757,UDP,410,DNS,"Tadepalligudem, Rajasthan",Low,Blocked
57.7.171.107,76.146.23.52,3133,46077,UDP,1425,DNS,"Gaya, Gujarat",High,Logged
46.236.76.78,68.194.124.162,40832,28015,UDP,118,HTTP,"Chandrapur, Chhattisgarh",Medium,Logged
71.41.31.239,105.193.254.47,39911,27107,TCP,1386,DNS,"Guntakal, Rajasthan",Medium,Blocked
128.47.86.24,9.149.23.14,23021,31279,UDP,433,DNS,"Giridih, Assam",Low,Logged
182.232.245.98,153.211.183.215,32552,15521,UDP,531,FTP,"Katihar, Andhra Pradesh",High,Blocked
208.44.127.159,121.167.40.167,56607,33023,TCP,282,HTTP,"Shahjahanpur, Andhra Pradesh",Low,Logged
197.137.61.248,87.49.219.65,64351,43307,ICMP,1487,HTTP,"Solapur, Madhya Pradesh",Low,Blocked
69.60.34.24,160.208.108.125,19954,11594,UDP,563,DNS,"Coimbatore, Telangana",Medium,Ignored
110.207.118.63,172.36.150.79,63062,49527,TCP,1313,HTTP,"Serampore, West Bengal",Low,Logged
188.40.103.145,84.139.233.32,39208,61136,UDP,350,HTTP,"Gudivada, Karnataka",Medium,Ignored
99.8.190.190,91.166.229.253,12932,47900,TCP,373,DNS,"Nellore, Tripura",Medium,Ignored
128.62.6.140,4.104.218.143,11482,16459,ICMP,1155,DNS,"Ludhiana, Goa",Low,Blocked
211.43.37.93,93.146.128.133,18768,8138,TCP,521,FTP,"Orai, Tamil Nadu",High,Ignored
203.171.62.228,27.5.94.221,41615,15184,ICMP,1346,FTP,"Jaunpur, Uttar Pradesh",Low,Blocked
115.120.220.179,72.56.150.150,34512,40467,UDP,1311,DNS,"Hubli–Dharwad, Chhattisgarh",Medium,Blocked
140.29.40.43,61.57.62.247,28975,5960,UDP,117,FTP,"Sagar, Mizoram",Low,Logged
76.128.95.185,142.92.111.242,46111,15554,TCP,1271,HTTP,"Medininagar, Gujarat",Medium,Logged
118.23.216.0,109.17.204.56,5032,1068,TCP,308,DNS,"Ichalkaranji, Sikkim",Medium,Blocked
212.153.110.146,59.138.247.230,58316,54095,TCP,545,DNS,"Bidar, Maharashtra",Medium,Ignored
6.64.251.220,137.104.11.138,26896,45972,UDP,572,DNS,"Dewas, Uttar Pradesh",Low,Ignored
170.112.189.99,21.28.78.79,1031,40417,TCP,1474,HTTP,"Adoni, Tripura",Low,Logged
50.30.140.36,76.154.100.68,57124,48417,UDP,1363,FTP,"Eluru, Uttarakhand",High,Blocked
194.120.14.24,201.55.168.126,32979,3852,UDP,443,DNS,"Parbhani, Rajasthan",High,Ignored
69.29.17.248,85.236.61.31,59738,44531,TCP,1026,FTP,"Panvel, West Bengal",Low,Logged
170.211.138.30,172.97.181.148,25022,6593,TCP,554,DNS,"Amravati, Kerala",High,Blocked
107.247.253.62,45.35.146.21,10584,23178,ICMP,649,HTTP,"Vijayawada, Bihar",High,Blocked
118.175.170.127,43.100.128.47,23934,57206,TCP,1378,DNS,"Giridih, Chhattisgarh",Medium,Blocked
